Shape;True Tucker Rank;Calculated Rank;Time
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.042111167907714846
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04198976135253906
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.042335903167724606
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.042326366424560544
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04276326370239258
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.042263839721679686
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04205936050415039
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04237680053710938
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04179264068603516
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04317763137817383
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.041955455780029294
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.0424455680847168
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.042508705139160156
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04228281784057617
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04195270538330078
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.043014686584472654
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.0423895378112793
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04201881790161133
