Shape;True Tucker Rank;Calculated Rank;Time
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04238079833984375
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04254576110839844
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.0420579833984375
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04235225677490234
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.043012351989746095
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04221513748168945
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.0421558723449707
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04228361511230469
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.042253185272216796
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.042074207305908204
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.042832927703857424
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04193552017211914
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04224691009521484
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.042159137725830076
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04228515243530274
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.0421157112121582
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04170943832397461
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04302867126464844
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04223775863647461
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04236937713623047
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04189465713500977
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.042006526947021484
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.041566047668457035
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04265523147583008
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04199059295654297
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04221443176269531
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04232223892211914
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.042294273376464846
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04215407943725586
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04292422485351562
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.0425843505859375
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04202819061279297
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04238937759399414
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04187612915039062
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.042412609100341794
(64, 64, 64, 64, 32);(26, 53, 8, 5);(26, 53, 8, 5);0.04261404800415039
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.040673152923583984
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.040236927032470705
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04077081680297852
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.040492576599121095
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.040572959899902346
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.040395198822021486
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.039962303161621096
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04063593673706055
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04051520156860351
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04051839828491211
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04050758361816406
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04071308898925781
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04011270523071289
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04003801727294922
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04075321578979492
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04070550537109375
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04047552108764649
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04006057739257812
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04053203201293945
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.03987187194824219
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04003424072265625
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04054064178466797
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04034492874145508
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.040562145233154295
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04010847854614258
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.040345054626464844
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.039826335906982424
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04008854293823242
