matrix_shape,method,rank_strategy,error_mean,error_std,time_mean,time_std,rank_mean,rank_std,matrix_type
256x64,svd_baseline,fixed_rank,0.005010856525041163,0.0005628638851916051,0.003845204249410017,0.0005948851899035035,64.0,0.0,rectangular
256x128,svd_baseline,full_rank,0.004168387979734689,0.00017619417120737002,0.007319509500484855,0.0004934237528750689,128.0,0.0,rectangular
256x128,svd_baseline,half_rank,0.020479344110935927,0.00776152630890393,0.007320832499317476,0.0004735116385277671,128.0,0.0,rectangular
256x128,svd_baseline,fixed_rank,0.015740732150152325,0.001137656595195045,0.006186904949572636,0.0004968633744545924,128.0,0.0,rectangular
256x256,svd_baseline,full_rank,0.016683132480829956,0.0003865078085428023,0.01314031205001811,0.00055144569691463,256.0,0.0,square
256x256,svd_baseline,half_rank,0.17950917929410934,0.006876114213566084,0.02766658805030602,0.0009834159672417618,256.0,0.0,square
256x256,svd_baseline,fixed_rank,0.03388678515329957,0.0032117384720093557,0.027785546599989174,0.000917789999093965,256.0,0.0,square
256x512,svd_baseline,full_rank,0.021433581504970788,0.0003855923773411517,0.012579073449524003,0.0004875502860822723,256.0,0.0,rectangular
256x512,svd_baseline,half_rank,0.12207250036299229,0.0045943716108370475,0.01727723025051091,0.002557541835670834,256.0,0.0,rectangular
256x512,svd_baseline,fixed_rank,0.06441249027848243,0.007667996320921746,0.011530828350805678,0.0009865846468890204,256.0,0.0,rectangular
256x1024,svd_baseline,full_rank,0.03237290866672993,0.0004741406887268669,0.012959737099663471,0.00044933195048651607,256.0,0.0,rectangular
256x1024,svd_baseline,half_rank,0.1805875226855278,0.012296533880993981,0.019971864849685515,0.0011170222193143283,256.0,0.0,rectangular
256x1024,svd_baseline,fixed_rank,0.09008561968803405,0.008911829692910711,0.011783536200709932,0.0017410741048008106,256.0,0.0,rectangular
16x16,normal,full_rank,4.992703725292813e-05,9.20203676976624e-06,0.003435300050114165,0.0016097723237674887,16.0,0.0,square
32x32,normal,full_rank,0.00015492165766772814,1.7218844473460764e-05,0.0023557183501907277,0.0003425842303929532,32.0,0.0,square
64x64,normal,full_rank,0.000567851381492801,4.4129411029680124e-05,0.006980539049800427,0.0005971768428709374,64.0,0.0,square
128x128,normal,full_rank,0.003183050616644323,0.00017625257191487733,0.013209137400372129,0.0004711428922744995,128.0,0.0,square
256x256,normal,full_rank,0.015470843715593218,0.00031197350610549367,0.02769961909889389,0.0005683811319085242,256.0,0.0,square
512x512,normal,full_rank,0.08224704824388027,0.001522403982996093,0.07166093380074016,0.0010431035578834888,512.0,0.0,square
1024x1024,normal,full_rank,0.32305545806884767,0.007983545177618958,0.1959657804502058,0.0026739367988004342,1024.0,0.0,square
16x16,normal,half_rank,7.825474840501556e-05,1.8781433693668233e-05,0.0014983548497184529,0.0002603465927981298,16.0,0.0,square
32x32,normal,half_rank,0.00040517581364838404,8.351258751636173e-05,0.002493675999903644,0.00041663673714462373,32.0,0.0,square
64x64,normal,half_rank,0.002040982450125739,0.000409319764171445,0.007971630549764085,0.0005294097382261858,64.0,0.0,square
128x128,normal,half_rank,0.009999758936464787,0.0009612596069390592,0.0172176544996546,0.0010383583990659214,128.0,0.0,square
256x256,normal,half_rank,0.07021606117486953,0.0036857193076394357,0.04832567310058948,0.005198885031303268,256.0,0.0,square
512x512,normal,half_rank,0.4296621561050415,0.029760344252424475,0.1492778151501625,0.01065545386888773,512.0,0.0,square
1024x1024,normal,half_rank,3.173247194290161,0.1951423580983605,0.42209717214991543,0.024723998489052833,1024.0,0.0,square
16x16,normal,fixed_rank,4.679637004301185e-05,1.2766321854361169e-05,0.0014488241498838762,0.0002300540838904185,16.0,0.0,square
32x32,normal,fixed_rank,0.00015639354642189575,2.135340312365897e-05,0.002222262050054269,0.0003401300502316836,32.0,0.0,square
64x64,normal,fixed_rank,0.0018863062607124448,0.00022209935574845662,0.007844069400380248,0.0006609101894057953,64.0,0.0,square
128x128,normal,fixed_rank,0.004315238806884736,0.0007240006333659781,0.015453979699850606,0.0007905610794552891,128.0,0.0,square
256x256,normal,fixed_rank,0.008980910060927272,0.0019916964205621552,0.03666004074966622,0.0010958471902031326,256.0,0.0,square
512x512,normal,fixed_rank,0.0170796069316566,0.0018155737033471269,0.10859774929940613,0.004959369475025298,512.0,0.0,square
1024x1024,normal,fixed_rank,0.03647396145388484,0.005790426569033892,0.3079852083499645,0.015254921930176538,1022.0,8.717797887081348,square
16x16,ortho,full_rank,4.553633625619114e-05,7.424522060772463e-06,0.002685471899712866,0.0020140885997753937,16.0,0.0,square
32x32,ortho,full_rank,0.00016088444826891645,1.9283559154942737e-05,0.0025580659992556322,0.00035921107216075487,32.0,0.0,square
64x64,ortho,full_rank,0.0005684137970092707,5.631785926671901e-05,0.008345490900501318,0.0022699298523313222,64.0,0.0,square
128x128,ortho,full_rank,0.0031113068340346216,0.00018624572865643053,0.015598832949945064,0.0024247414535274736,128.0,0.0,square
256x256,ortho,full_rank,0.015490218857303261,0.0003286961651863457,0.03163012599979993,0.001045242845519548,256.0,0.0,square
512x512,ortho,full_rank,0.08193713910877705,0.0016012997675419792,0.08135812170003191,0.0020408618152746253,512.0,0.0,square
1024x1024,ortho,full_rank,0.3248729407787323,0.006514017310352971,0.2614342140001099,0.0142302299124961,1024.0,0.0,square
16x16,ortho,half_rank,7.748018251731991e-05,2.0369787317621293e-05,0.002190309750039887,0.00027713037671097583,16.0,0.0,square
32x32,ortho,half_rank,0.00038331421092152596,0.00010411011493728662,0.002472008749282395,0.0002610743597074007,32.0,0.0,square
64x64,ortho,half_rank,0.0019047545443754642,0.00024665527655018876,0.009469315300702875,0.0006736532240009159,64.0,0.0,square
128x128,ortho,half_rank,0.010041170753538609,0.0009809414223827166,0.01930457100024796,0.0009781986843723943,128.0,0.0,square
256x256,ortho,half_rank,0.07415465600788593,0.00608454728084166,0.052563485249993394,0.00525420913665768,256.0,0.0,square
512x512,ortho,half_rank,0.42781613767147064,0.03785421284189732,0.1667703237000751,0.009254006874917403,512.0,0.0,square
1024x1024,ortho,half_rank,3.119206929206848,0.0988140967533445,0.5449260871495426,0.039769199810904196,1024.0,0.0,square
16x16,ortho,fixed_rank,4.420292862050701e-05,7.896231604260246e-06,0.0026451529009136722,0.000414801187045622,16.0,0.0,square
