matrix_shape,method,error_mean,error_std,time_mean,time_std,rank_mean,rank_std,matrix_type,dim1,dim2
256x16,ortho,0.00017228713113581762,3.026567156685645e-05,0.005755670649887179,0.0008787749354286325,16.0,0.0,rectangular,256,16
256x32,ortho,0.00037128020048839974,4.1407098327367304e-05,0.006513620999612613,0.0005629281407309227,32.0,0.0,rectangular,256,32
256x64,ortho,0.001160270583932288,0.0001572435831682269,0.008648251149861608,0.0005458904267051458,64.0,0.0,rectangular,256,64
256x128,ortho,0.003754127840511501,0.0001731415133445175,0.011470882750290911,0.0004383831248065689,128.0,0.0,rectangular,256,128
256x256,ortho,0.015582338487729431,0.0005000631158922343,0.018899052099914115,0.000664138323232582,256.0,0.0,square,256,256
256x512,ortho,0.01941740941256285,0.0005501413013982493,0.021617057149342145,0.0009463743061380985,256.0,0.0,rectangular,256,512
256x1024,ortho,0.030743391253054142,0.0005271764766768683,0.036776645699501384,0.0014131213131531384,256.0,0.0,rectangular,256,1024
256x2048,ortho,0.04608161523938179,0.0009195022464975813,0.11761888949986314,0.005178323603440882,256.0,0.0,rectangular,256,2048
256x4096,ortho,0.06653618849813939,0.0013083708287264185,0.5777529514496564,0.050786625989348924,256.0,0.0,rectangular,256,4096
16x16,iid_entries,4.5568142468255246e-05,9.555958260198641e-06,0.0014755643502212478,0.0003048377585230617,16.0,0.0,square,16,16
32x32,iid_entries,0.00015317848046834115,2.6673314767106098e-05,0.0022840385503513972,0.0003646710418546609,32.0,0.0,square,32,32
64x64,iid_entries,0.0005548491390072741,4.881498365313566e-05,0.0065768831000241335,0.0005029627849666203,64.0,0.0,square,64,64
128x128,iid_entries,0.003211060003377497,0.00017891486114370164,0.01292109240002901,0.0005348164165607974,128.0,0.0,square,128,128
256x256,iid_entries,0.015385112119838595,0.000432125735088456,0.0282757811499323,0.0006986220707653046,256.0,0.0,square,256,256
512x512,iid_entries,0.08278652988374233,0.0012246053535663055,0.06879013450034108,0.001472509876562376,512.0,0.0,square,512,512
1024x1024,iid_entries,0.326755653321743,0.0071103460398156,0.20028151019996585,0.008935415017248838,1024.0,0.0,square,1024,1024
2048x2048,iid_entries,1.3584200739860535,0.022073087309966766,0.7114687299499565,0.016244142636341042,2048.0,0.0,square,2048,2048
4096x4096,iid_entries,4.446082496643067,0.1268133795946305,4.626622678900094,0.11553946218022194,4096.0,0.0,square,4096,4096
256x16,iid_entries,0.0001675496452662628,2.6703180561763212e-05,0.0046707397999853125,0.00042571123862019755,16.0,0.0,rectangular,256,16
256x32,iid_entries,0.0003900089068338275,2.9549667152831163e-05,0.005479744899821526,0.00019780171970467677,32.0,0.0,rectangular,256,32
256x64,iid_entries,0.0011713861662428827,0.0001366201262450427,0.007497826250073558,0.000375579608261104,64.0,0.0,rectangular,256,64
256x128,iid_entries,0.0037366331671364605,0.0002169622845265195,0.010228580600050918,0.0002818930107644137,128.0,0.0,rectangular,256,128
256x256,iid_entries,0.015575625887140631,0.00036822114237460224,0.0170857357496061,0.0002502773084870886,256.0,0.0,square,256,256
256x512,iid_entries,0.019315535109490155,0.00032851460636415417,0.018223041700184694,0.00035246508913608414,256.0,0.0,rectangular,256,512
256x1024,iid_entries,0.030647453665733338,0.0005221161536328118,0.023454708300232597,0.0003381910294117628,256.0,0.0,rectangular,256,1024
256x2048,iid_entries,0.045921430364251135,0.0007002885726109486,0.05574915449960827,0.004561134426134156,256.0,0.0,rectangular,256,2048
256x4096,iid_entries,0.06709575727581978,0.0009548517711499528,0.20218902100023114,0.011248370689689896,256.0,0.0,rectangular,256,4096
16x16,lean_walsh,4.939239424857078e-05,1.0520737541775851e-05,0.0014169903999572853,0.00013669119095650504,16.0,0.0,square,16,16
32x32,lean_walsh,0.00015934506809571757,2.1212448770401658e-05,0.0022519172502143193,0.00031852080641745406,32.0,0.0,square,32,32
64x64,lean_walsh,0.0005666921686497516,5.0824328199549325e-05,0.007328948350368592,0.0018300864935493458,64.0,0.0,square,64,64
128x128,lean_walsh,0.003142619819846004,0.00014577571502484866,0.013563376099955348,0.0005027362222297903,128.0,0.0,square,128,128
256x256,lean_walsh,0.01564768347889185,0.0004146029561515006,0.027715677299784146,0.0006746289142891105,256.0,0.0,square,256,256
512x512,lean_walsh,0.08206948265433311,0.0017185876702704669,0.06732383260023198,0.0006579249311937064,512.0,0.0,square,512,512
1024x1024,lean_walsh,0.32423489838838576,0.007033760530899228,0.19940957379985774,0.0044401856809739865,1024.0,0.0,square,1024,1024
2048x2048,lean_walsh,1.3493325293064118,0.02272884609800467,0.7321549689992025,0.011627054850452515,2048.0,0.0,square,2048,2048
4096x4096,lean_walsh,4.470153641700745,0.12437686736824463,4.774610384550215,0.14664438253810655,4096.0,0.0,square,4096,4096
256x16,lean_walsh,0.00016891136401682162,2.7931110777678223e-05,0.004259149499921478,0.00016811666496608534,16.0,0.0,rectangular,256,16
256x32,lean_walsh,0.00038450978900073096,3.899005152412205e-05,0.005174231500132009,0.00021785217388689207,32.0,0.0,rectangular,256,32
256x64,lean_walsh,0.0011512986209709197,9.663780129791692e-05,0.007513742550327151,0.0005689431462140454,64.0,0.0,rectangular,256,64
256x128,lean_walsh,0.0038017668994143605,0.00017978592571329764,0.010360672750175581,0.0004931648948524416,128.0,0.0,rectangular,256,128
256x256,lean_walsh,0.015476688835769891,0.0004360610285105799,0.016926551399956226,0.0005547982656542727,256.0,0.0,square,256,256
256x512,lean_walsh,0.01947230864316225,0.00032319968183290224,0.018184596200444502,0.001144707965909717,256.0,0.0,rectangular,256,512
256x1024,lean_walsh,0.031160170678049326,0.001221366811634377,0.023821010749816195,0.003690838430095247,256.0,0.0,rectangular,256,1024
256x2048,lean_walsh,0.045983072370290756,0.0007964009052408044,0.05730721200034168,0.0016746222655807529,256.0,0.0,rectangular,256,2048
256x4096,lean_walsh,0.0672595452517271,0.0008753978551053657,0.2956541458499487,0.012911526563824903,256.0,0.0,rectangular,256,4096
16x16,identity_copies,4.8038665772764945e-05,1.0528372972228223e-05,0.0017219254497831571,0.0004947613257202127,16.0,0.0,square,16,16
32x32,identity_copies,0.00015083756079548039,1.8749634860645824e-05,0.0022481317002529975,0.00031170516562278774,32.0,0.0,square,32,32
64x64,identity_copies,0.0005456906830659137,3.733495948316072e-05,0.0069968788997357475,0.0004578458003101937,64.0,0.0,square,64,64
128x128,identity_copies,0.0032014188705943524,0.0001224245213507591,0.012894105599843896,0.0005990589623630311,128.0,0.0,square,128,128
256x256,identity_copies,0.015682571567595005,0.00025378719840553804,0.027652045149807236,0.000541224777676194,256.0,0.0,square,256,256
512x512,identity_copies,0.08308020867407322,0.0011530655630700634,0.06693943739956013,0.0015562356282044704,512.0,0.0,square,512,512
1024x1024,identity_copies,0.324584524333477,0.0046404527177685935,0.19040924624969194,0.00331973116374859,1024.0,0.0,square,1024,1024
2048x2048,identity_copies,1.3545588195323943,0.022163762118552463,0.5592790678998426,0.10250638823671235,2048.0,0.0,square,2048,2048
4096x4096,identity_copies,4.428284001350403,0.09370318077445719,4.443855218800309,0.1222876245241575,4096.0,0.0,square,4096,4096
256x16,identity_copies,0.0001734032790409401,2.9240889875124798e-05,0.004145577899907949,0.00018631246541777046,16.0,0.0,rectangular,256,16
256x32,identity_copies,0.00037314757937565444,2.8868900943270616e-05,0.0050193138500617355,0.00021280820650814418,32.0,0.0,rectangular,256,32
256x64,identity_copies,0.0011383442441001534,9.121822490715196e-05,0.007385589250770863,0.0005910478290757982,64.0,0.0,rectangular,256,64
256x128,identity_copies,0.0038312038872390986,0.0002093236223501079,0.010004888450021098,0.00031675882244871535,128.0,0.0,rectangular,256,128
256x256,identity_copies,0.015792708145454526,0.00034668777802324455,0.016009095899971727,0.0007560417829610029,256.0,0.0,square,256,256
256x512,identity_copies,0.019368939381092787,0.0004018700625139622,0.017221297249852795,0.00036494250056629175,256.0,0.0,rectangular,256,512
256x1024,identity_copies,0.030694880429655312,0.0006040014008857626,0.019463593500586285,0.000337097879860792,256.0,0.0,rectangular,256,1024
256x2048,identity_copies,0.04583039060235024,0.0009516842217441672,0.03363156900013564,0.0007328654327076049,256.0,0.0,rectangular,256,2048
256x4096,identity_copies,0.06716701537370681,0.0014687461046813547,0.08898058890026732,0.008728693906591499,256.0,0.0,rectangular,256,4096
