Shape;Tucker Rank;Calculated Rank;Time
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.014404159545898437
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.010670495986938476
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.013231871604919433
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.011793055534362794
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.009328479766845704
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.009496128082275391
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.01113590431213379
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.009075008392333984
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.0145731840133667
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.009463040351867676
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.009125375747680664
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.008840352058410645
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.01008188819885254
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.007678815841674805
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.0079269437789917
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.007228928089141846
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.020492544174194337
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.014436223983764648
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.01057369613647461
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.010223551750183106
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.012090880393981934
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.012012895584106445
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.010574080467224122
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.01019808006286621
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.014360896110534668
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.018275871276855468
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.01969033622741699
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.014211296081542969
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.012161439895629882
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.027223136901855467
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.019239967346191406
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.011474143981933594
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.02052672004699707
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.010432576179504395
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.014889535903930664
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.017178943634033203
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.015565759658813476
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.01825814437866211
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.02199782371520996
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.016941728591918944
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.022922048568725584
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.01554755210876465
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.011239328384399415
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.015893823623657228
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.01308409595489502
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.017000831604003907
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.010661567687988281
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.023113983154296875
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.01455583953857422
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.015892127990722656
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.011648575782775878
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.01563804817199707
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.023488704681396484
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.012803744316101075
(64, 64, 64, 4);(7, 49, 54);(7, 49, 54);0.017127231597900392
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.012885536193847656
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.029921024322509766
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.021183040618896483
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.011997952461242675
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.023099231719970702
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.01541708755493164
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.015601471900939941
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.013076160430908203
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.025068511962890627
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.02123574447631836
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.028793664932250978
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.012989472389221192
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.00901369571685791
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.025957759857177735
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.022052288055419922
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.017797727584838868
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.01295024013519287
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.014050592422485351
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.02205779266357422
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.016676000595092774
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.03486054229736328
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.010198304176330567
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.024106496810913085
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.013941408157348633
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.010229727745056153
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.02138889694213867
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.007922111988067627
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.015732288360595703
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.01933910369873047
(64, 64, 64, 8);(53, 44, 10);(53, 44, 10);0.023163295745849608
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.0219835205078125
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.02075948715209961
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.020686880111694336
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.0241376953125
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.019651615142822265
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.020768543243408204
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.02187606430053711
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.014734175682067871
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.010768511772155761
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.015824928283691406
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.014436832427978516
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.015475808143615722
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.013116831779479981
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.018297216415405274
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.026895328521728514
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.0157578239440918
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.02438374328613281
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.015454751968383789
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.027244863510131837
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.023146688461303713
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.03194643211364746
