Shape;True Tucker Rank;Calculated Rank;Time
(64, 64);(15, 8);(8, 8);0.0036145598888397217
(64, 64);(15, 8);(8, 8);0.0037166080474853517
(64, 64);(15, 8);(8, 8);0.003933376073837281
(128, 128);(55, 92);(55, 55);0.014806655883789063
(128, 128);(55, 92);(55, 55);0.01490873622894287
(128, 128);(55, 92);(55, 55);0.014855775833129883
(128, 128);(55, 92);(55, 55);0.014755104064941406
(128, 128);(55, 92);(55, 55);0.014780447959899903
(128, 128);(55, 92);(55, 55);0.014840191841125488
(128, 128);(55, 92);(55, 55);0.015179136276245116
(128, 128);(55, 92);(55, 55);0.014828800201416015
(128, 128);(55, 92);(55, 55);0.014867072105407714
(128, 128);(55, 92);(55, 55);0.014567935943603515
(128, 128);(55, 92);(55, 55);0.014910943984985351
(128, 128);(55, 92);(55, 55);0.014846591949462891
(128, 128);(55, 92);(55, 55);0.01484108829498291
(128, 128);(55, 92);(55, 55);0.014865216255187988
(128, 128);(55, 92);(55, 55);0.014747743606567382
(128, 128);(55, 92);(55, 55);0.015176063537597656
(128, 128);(55, 92);(55, 55);0.014930720329284669
(128, 128);(55, 92);(55, 55);0.014890048027038574
(128, 128);(55, 92);(55, 55);0.01502086353302002
(128, 128);(55, 92);(55, 55);0.015639519691467284
(128, 128);(55, 92);(55, 55);0.015448127746582031
(128, 128);(55, 92);(55, 55);0.014889087677001953
(128, 128);(55, 92);(55, 55);0.015474207878112793
(128, 128);(55, 92);(55, 55);0.015252639770507812
(128, 128);(55, 92);(55, 55);0.014851743698120118
(128, 128);(55, 92);(55, 55);0.014845855712890625
(128, 128);(55, 92);(55, 55);0.014958880424499511
(128, 128);(55, 92);(55, 55);0.014832063674926758
(128, 128);(55, 92);(55, 55);0.01497555160522461
(128, 128);(55, 92);(55, 55);0.01491152000427246
(256, 256);(136, 5);(5, 5);0.030008256912231444
(256, 256);(136, 5);(5, 5);0.03001571273803711
(256, 256);(136, 5);(5, 5);0.0299355525970459
(256, 256);(136, 5);(5, 5);0.02982159996032715
(256, 256);(136, 5);(5, 5);0.030243743896484376
(256, 256);(136, 5);(5, 5);0.029681631088256836
(256, 256);(136, 5);(5, 5);0.02989993667602539
(256, 256);(136, 5);(5, 5);0.029921663284301757
(256, 256);(136, 5);(5, 5);0.030238271713256836
(256, 256);(136, 5);(5, 5);0.030022560119628908
(256, 256);(136, 5);(5, 5);0.0297410888671875
(256, 256);(136, 5);(5, 5);0.02997875213623047
(256, 256);(136, 5);(5, 5);0.03027382469177246
(256, 256);(136, 5);(5, 5);0.02967193603515625
(256, 256);(136, 5);(5, 5);0.02993356704711914
(256, 256);(136, 5);(5, 5);0.02975129508972168
(256, 256);(136, 5);(5, 5);0.030110815048217773
(256, 256);(136, 5);(5, 5);0.029784543991088867
(256, 256);(136, 5);(5, 5);0.029877920150756836
(256, 256);(136, 5);(5, 5);0.030126527786254884
(256, 256);(136, 5);(5, 5);0.03191116714477539
(256, 256);(136, 5);(5, 5);0.02965567970275879
(256, 256);(136, 5);(5, 5);0.029884767532348634
(256, 256);(136, 5);(5, 5);0.030116352081298828
(256, 256);(136, 5);(5, 5);0.03100124740600586
(256, 256);(136, 5);(5, 5);0.030514175415039063
(256, 256);(136, 5);(5, 5);0.0307761287689209
(256, 256);(136, 5);(5, 5);0.030224288940429687
(256, 256);(136, 5);(5, 5);0.029938047409057617
(256, 256);(136, 5);(5, 5);0.02973708724975586
(512, 512);(373, 202);(202, 202);0.13425167846679686
(512, 512);(373, 202);(202, 202);0.13449562072753907
(512, 512);(373, 202);(202, 202);0.13504867553710936
(512, 512);(373, 202);(202, 202);0.13421197509765626
(512, 512);(373, 202);(202, 202);0.134198974609375
(512, 512);(373, 202);(202, 202);0.1358455047607422
(512, 512);(373, 202);(202, 202);0.13431484985351563
(512, 512);(373, 202);(202, 202);0.13399778747558594
(512, 512);(373, 202);(202, 202);0.13411549377441406
(512, 512);(373, 202);(202, 202);0.13448867797851563
(512, 512);(373, 202);(202, 202);0.1349122314453125
(512, 512);(373, 202);(202, 202);0.13436953735351562
(512, 512);(373, 202);(202, 202);0.13425567626953125
(512, 512);(373, 202);(202, 202);0.13401158142089845
(512, 512);(373, 202);(202, 202);0.13408329772949218
(512, 512);(373, 202);(202, 202);0.13414495849609376
(512, 512);(373, 202);(202, 202);0.13400201416015625
(512, 512);(373, 202);(202, 202);0.13401126098632812
(512, 512);(373, 202);(202, 202);0.13405059814453124
(512, 512);(373, 202);(202, 202);0.13412232971191407
(512, 512);(373, 202);(202, 202);0.134505859375
(512, 512);(373, 202);(202, 202);0.13494309997558593
(512, 512);(373, 202);(202, 202);0.13383786010742188
(512, 512);(373, 202);(202, 202);0.13428953552246095
(512, 512);(373, 202);(202, 202);0.13437242126464843
(512, 512);(373, 202);(202, 202);0.13416685485839844
(512, 512);(373, 202);(202, 202);0.13395458984375
(512, 512);(373, 202);(202, 202);0.13402899169921875
(512, 512);(373, 202);(202, 202);0.1346044464111328
(512, 512);(373, 202);(202, 202);0.13414175415039062
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00039616000652313235
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00034092798829078676
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00032892799377441407
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.0003255360126495361
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00032867199182510376
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00033187198638916015
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.0003273600041866303
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00033484798669815064
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00031414398550987246
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00032611200213432314
